date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,code,notes,notes2,finished,pollination_plant,previously.finished
07-Jun,OTC1,1,1,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,1,2,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,1,3,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,1,4,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,1,5,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,1,6,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,1,7,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,1,8,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,1,9,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,1,10,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,1,11,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,2,1,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,2,2,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,3,1,NA,NA,NA,NA,NA,NA,abr,aborted raceme,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,3,2,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
07-Jun,OTC1,3,3,NA,NA,NA,NA,NA,NA,bud,budding,NA,FALSE,FALSE,FALSE
