"Plot Title: CON-1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20202711, SEN S/N: 20202711, LBL: ground temp)","Coupler Attached (LGR S/N: 20202711)","Host Connected (LGR S/N: 20202711)","Stopped (LGR S/N: 20202711)","End Of File (LGR S/N: 20202711)"
1,06/08/23 12:00:00  AM,9.669,,,,
2,06/08/23 12:30:00  AM,8.879,,,,
3,06/08/23 01:00:00  AM,8.082,,,,
4,06/08/23 01:30:00  AM,7.582,,,,
5,06/08/23 02:00:00  AM,7.079,,,,
6,06/08/23 02:30:00  AM,6.471,,,,
7,06/08/23 03:00:00  AM,6.064,,,,
8,06/08/23 03:30:00  AM,5.655,,,,
9,06/08/23 04:00:00  AM,5.244,,,,
10,06/08/23 04:30:00  AM,5.037,,,,
11,06/08/23 05:00:00  AM,4.623,,,,
12,06/08/23 05:30:00  AM,4.311,,,,
13,06/08/23 06:00:00  AM,4.623,,,,
14,06/08/23 06:30:00  AM,5.244,,,,
15,06/08/23 07:00:00  AM,9.275,,,,
16,06/08/23 07:30:00  AM,13.461,,,,
17,06/08/23 08:00:00  AM,18.901,,,,
18,06/08/23 08:30:00  AM,26.195,,,,
19,06/08/23 09:00:00  AM,35.009,,,,
20,06/08/23 09:30:00  AM,37.604,,,,
21,06/08/23 10:00:00  AM,39.957,,,,
22,06/08/23 10:30:00  AM,30.659,,,,
23,06/08/23 11:00:00  AM,26.000,,,,
24,06/08/23 11:30:00  AM,27.173,,,,
25,06/08/23 12:00:00  PM,28.754,,,,
26,06/08/23 12:30:00  PM,31.574,,,,
27,06/08/23 01:00:00  PM,31.880,,,,
28,06/08/23 01:30:00  PM,47.109,,,,
29,06/08/23 02:00:00  PM,50.042,,,,
30,06/08/23 02:30:00  PM,46.337,,,,
31,06/08/23 03:00:00  PM,51.154,,,,
32,06/08/23 03:30:00  PM,40.645,,,,
33,06/08/23 04:00:00  PM,31.880,,,,
34,06/08/23 04:30:00  PM,42.164,,,,
35,06/08/23 05:00:00  PM,30.659,,,,
36,06/08/23 05:30:00  PM,30.255,,,,
37,06/08/23 06:00:00  PM,26.585,,,,
38,06/08/23 06:30:00  PM,26.292,,,,
39,06/08/23 07:00:00  PM,25.125,,,,
40,06/08/23 07:30:00  PM,23.773,,,,
41,06/08/23 08:00:00  PM,21.664,,,,
42,06/08/23 08:30:00  PM,20.901,,,,
43,06/08/23 09:00:00  PM,19.092,,,,
44,06/08/23 09:30:00  PM,16.713,,,,
45,06/08/23 10:00:00  PM,15.473,,,,
46,06/08/23 10:30:00  PM,15.378,,,,
47,06/08/23 11:00:00  PM,15.569,,,,
48,06/08/23 11:30:00  PM,15.091,,,,
49,06/09/23 12:00:00  AM,14.996,,,,
50,06/09/23 12:30:00  AM,14.900,,,,
51,06/09/23 01:00:00  AM,14.804,,,,
52,06/09/23 01:30:00  AM,14.230,,,,
53,06/09/23 02:00:00  AM,13.365,,,,
54,06/09/23 02:30:00  AM,12.207,,,,
55,06/09/23 03:00:00  AM,11.819,,,,
56,06/09/23 03:30:00  AM,11.625,,,,
57,06/09/23 04:00:00  AM,11.528,,,,
58,06/09/23 04:30:00  AM,11.139,,,,
59,06/09/23 05:00:00  AM,11.139,,,,
60,06/09/23 05:30:00  AM,11.819,,,,
61,06/09/23 06:00:00  AM,12.690,,,,
62,06/09/23 06:30:00  AM,13.654,,,,
63,06/09/23 07:00:00  AM,14.134,,,,
64,06/09/23 07:30:00  AM,16.046,,,,
65,06/09/23 08:00:00  AM,17.189,,,,
66,06/09/23 08:30:00  AM,17.475,,,,
67,06/09/23 09:00:00  AM,17.379,,,,
68,06/09/23 09:30:00  AM,16.523,,,,
69,06/09/23 10:00:00  AM,16.046,,,,
70,06/09/23 10:30:00  AM,19.092,,,,
71,06/09/23 11:00:00  AM,19.567,,,,
72,06/09/23 11:30:00  AM,19.662,,,,
73,06/09/23 12:00:00  PM,17.950,,,,
74,06/09/23 12:30:00  PM,21.282,,,,
75,06/09/23 01:00:00  PM,23.196,,,,
76,06/09/23 01:30:00  PM,22.812,,,,
77,06/09/23 02:00:00  PM,18.236,,,,
78,06/09/23 02:30:00  PM,17.189,,,,
79,06/09/23 03:00:00  PM,17.665,,,,
80,06/09/23 03:30:00  PM,19.472,,,,
81,06/09/23 04:00:00  PM,18.521,,,,
82,06/09/23 04:30:00  PM,18.616,,,,
83,06/09/23 05:00:00  PM,18.901,,,,
84,06/09/23 05:30:00  PM,17.284,,,,
85,06/09/23 06:00:00  PM,14.804,,,,
86,06/09/23 06:30:00  PM,14.230,,,,
87,06/09/23 07:00:00  PM,14.134,,,,
88,06/09/23 07:30:00  PM,13.846,,,,
89,06/09/23 08:00:00  PM,13.269,,,,
90,06/09/23 08:30:00  PM,12.787,,,,
91,06/09/23 09:00:00  PM,12.207,,,,
92,06/09/23 09:30:00  PM,11.819,,,,
93,06/09/23 10:00:00  PM,11.528,,,,
94,06/09/23 10:30:00  PM,11.334,,,,
95,06/09/23 11:00:00  PM,11.139,,,,
96,06/09/23 11:30:00  PM,10.944,,,,
97,06/10/23 12:00:00  AM,10.748,,,,
98,06/10/23 12:30:00  AM,10.553,,,,
99,06/10/23 01:00:00  AM,10.161,,,,
100,06/10/23 01:30:00  AM,10.259,,,,
101,06/10/23 02:00:00  AM,10.063,,,,
102,06/10/23 02:30:00  AM,9.768,,,,
103,06/10/23 03:00:00  AM,9.669,,,,
104,06/10/23 03:30:00  AM,9.571,,,,
105,06/10/23 04:00:00  AM,9.176,,,,
106,06/10/23 04:30:00  AM,9.176,,,,
107,06/10/23 05:00:00  AM,9.176,,,,
108,06/10/23 05:30:00  AM,9.275,,,,
109,06/10/23 06:00:00  AM,9.373,,,,
110,06/10/23 06:30:00  AM,9.571,,,,
111,06/10/23 07:00:00  AM,9.866,,,,
112,06/10/23 07:30:00  AM,10.063,,,,
113,06/10/23 08:00:00  AM,10.651,,,,
114,06/10/23 08:30:00  AM,12.304,,,,
115,06/10/23 09:00:00  AM,17.379,,,,
116,06/10/23 09:30:00  AM,20.615,,,,
117,06/10/23 10:00:00  AM,20.519,,,,
118,06/10/23 10:30:00  AM,21.187,,,,
119,06/10/23 11:00:00  AM,20.329,,,,
120,06/10/23 11:30:00  AM,20.615,,,,
121,06/10/23 12:00:00  PM,16.999,,,,
122,06/10/23 12:30:00  PM,15.855,,,,
123,06/10/23 01:00:00  PM,16.618,,,,
124,06/10/23 01:30:00  PM,25.708,,,,
125,06/10/23 02:00:00  PM,25.805,,,,
126,06/10/23 02:30:00  PM,16.618,,,,
127,06/10/23 03:00:00  PM,14.325,,,,
128,06/10/23 03:30:00  PM,15.187,,,,
129,06/10/23 04:00:00  PM,14.900,,,,
130,06/10/23 04:30:00  PM,15.855,,,,
131,06/10/23 05:00:00  PM,14.613,,,,
132,06/10/23 05:30:00  PM,16.237,,,,
133,06/10/23 06:00:00  PM,15.378,,,,
134,06/10/23 06:30:00  PM,14.325,,,,
135,06/10/23 07:00:00  PM,12.883,,,,
136,06/10/23 07:30:00  PM,12.883,,,,
137,06/10/23 08:00:00  PM,12.207,,,,
138,06/10/23 08:30:00  PM,11.528,,,,
139,06/10/23 09:00:00  PM,11.236,,,,
140,06/10/23 09:30:00  PM,10.944,,,,
141,06/10/23 10:00:00  PM,10.651,,,,
142,06/10/23 10:30:00  PM,10.553,,,,
143,06/10/23 11:00:00  PM,10.357,,,,
144,06/10/23 11:30:00  PM,10.259,,,,
145,06/11/23 12:00:00  AM,10.259,,,,
146,06/11/23 12:30:00  AM,10.161,,,,
147,06/11/23 01:00:00  AM,10.063,,,,
148,06/11/23 01:30:00  AM,9.965,,,,
149,06/11/23 02:00:00  AM,9.768,,,,
150,06/11/23 02:30:00  AM,9.571,,,,
151,06/11/23 03:00:00  AM,9.472,,,,
152,06/11/23 03:30:00  AM,9.472,,,,
153,06/11/23 04:00:00  AM,9.275,,,,
154,06/11/23 04:30:00  AM,9.275,,,,
155,06/11/23 05:00:00  AM,9.373,,,,
156,06/11/23 05:30:00  AM,9.373,,,,
157,06/11/23 06:00:00  AM,9.472,,,,
158,06/11/23 06:30:00  AM,9.669,,,,
159,06/11/23 07:00:00  AM,10.063,,,,
160,06/11/23 07:30:00  AM,10.846,,,,
161,06/11/23 08:00:00  AM,11.139,,,,
162,06/11/23 08:30:00  AM,11.916,,,,
163,06/11/23 09:00:00  AM,12.497,,,,
164,06/11/23 09:30:00  AM,13.461,,,,
165,06/11/23 10:00:00  AM,15.855,,,,
166,06/11/23 10:30:00  AM,15.569,,,,
167,06/11/23 11:00:00  AM,15.569,,,,
168,06/11/23 11:30:00  AM,15.760,,,,
169,06/11/23 12:00:00  PM,15.664,,,,
170,06/11/23 12:30:00  PM,16.808,,,,
171,06/11/23 01:00:00  PM,18.140,,,,
172,06/11/23 01:30:00  PM,18.236,,,,
173,06/11/23 02:00:00  PM,21.569,,,,
174,06/11/23 02:30:00  PM,20.901,,,,
175,06/11/23 03:00:00  PM,22.525,,,,
176,06/11/23 03:30:00  PM,29.152,,,,
177,06/11/23 04:00:00  PM,22.238,,,,
178,06/11/23 04:30:00  PM,22.046,,,,
179,06/11/23 05:00:00  PM,18.996,,,,
180,06/11/23 05:30:00  PM,18.331,,,,
181,06/11/23 06:00:00  PM,20.138,,,,
182,06/11/23 06:30:00  PM,19.853,,,,
183,06/11/23 07:00:00  PM,18.331,,,,
184,06/11/23 07:30:00  PM,16.237,,,,
185,06/11/23 08:00:00  PM,16.046,,,,
186,06/11/23 08:30:00  PM,14.517,,,,
187,06/11/23 09:00:00  PM,13.365,,,,
188,06/11/23 09:30:00  PM,13.173,,,,
189,06/11/23 10:00:00  PM,11.819,,,,
190,06/11/23 10:30:00  PM,10.846,,,,
191,06/11/23 11:00:00  PM,9.965,,,,
192,06/11/23 11:30:00  PM,9.669,,,,
193,06/12/23 12:00:00  AM,8.879,,,,
194,06/12/23 12:30:00  AM,8.082,,,,
195,06/12/23 01:00:00  AM,7.682,,,,
196,06/12/23 01:30:00  AM,7.179,,,,
197,06/12/23 02:00:00  AM,6.674,,,,
198,06/12/23 02:30:00  AM,6.064,,,,
199,06/12/23 03:00:00  AM,5.655,,,,
200,06/12/23 03:30:00  AM,5.244,,,,
201,06/12/23 04:00:00  AM,6.064,,,,
202,06/12/23 04:30:00  AM,6.370,,,,
203,06/12/23 05:00:00  AM,5.860,,,,
204,06/12/23 05:30:00  AM,5.450,,,,
205,06/12/23 06:00:00  AM,5.141,,,,
206,06/12/23 06:30:00  AM,5.450,,,,
207,06/12/23 07:00:00  AM,9.077,,,,
