"Plot Title: CON-3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10162813, SEN S/N: 10162813, LBL: ground temperature)","Host Connected (LGR S/N: 10162813)","Coupler Attached (LGR S/N: 10162813)","Stopped (LGR S/N: 10162813)","End Of File (LGR S/N: 10162813)"
1,06/08/23 12:00:00  AM,10.259,,,,
2,06/08/23 12:30:00  AM,9.176,,,,
3,06/08/23 01:00:00  AM,8.481,,,,
4,06/08/23 01:30:00  AM,7.782,,,,
5,06/08/23 02:00:00  AM,7.079,,,,
6,06/08/23 02:30:00  AM,6.573,,,,
7,06/08/23 03:00:00  AM,6.166,,,,
8,06/08/23 03:30:00  AM,5.655,,,,
9,06/08/23 04:00:00  AM,5.347,,,,
10,06/08/23 04:30:00  AM,5.037,,,,
11,06/08/23 05:00:00  AM,4.727,,,,
12,06/08/23 05:30:00  AM,4.519,,,,
13,06/08/23 06:00:00  AM,4.623,,,,
14,06/08/23 06:30:00  AM,5.244,,,,
15,06/08/23 07:00:00  AM,6.877,,,,
16,06/08/23 07:30:00  AM,8.779,,,,
17,06/08/23 08:00:00  AM,11.041,,,,
18,06/08/23 08:30:00  AM,18.331,,,,
19,06/08/23 09:00:00  AM,31.880,,,,
20,06/08/23 09:30:00  AM,37.824,,,,
21,06/08/23 10:00:00  AM,41.692,,,,
22,06/08/23 10:30:00  AM,35.435,,,,
23,06/08/23 11:00:00  AM,33.639,,,,
24,06/08/23 11:30:00  AM,32.086,,,,
25,06/08/23 12:00:00  PM,27.665,,,,
26,06/08/23 12:30:00  PM,29.252,,,,
27,06/08/23 01:00:00  PM,29.252,,,,
28,06/08/23 01:30:00  PM,29.252,,,,
29,06/08/23 02:00:00  PM,28.060,,,,
30,06/08/23 02:30:00  PM,25.902,,,,
31,06/08/23 03:00:00  PM,26.097,,,,
32,06/08/23 03:30:00  PM,28.853,,,,
33,06/08/23 04:00:00  PM,29.252,,,,
34,06/08/23 04:30:00  PM,28.060,,,,
35,06/08/23 05:00:00  PM,26.390,,,,
36,06/08/23 05:30:00  PM,26.683,,,,
37,06/08/23 06:00:00  PM,25.125,,,,
38,06/08/23 06:30:00  PM,24.835,,,,
39,06/08/23 07:00:00  PM,23.581,,,,
40,06/08/23 07:30:00  PM,22.429,,,,
41,06/08/23 08:00:00  PM,20.901,,,,
42,06/08/23 08:30:00  PM,20.234,,,,
43,06/08/23 09:00:00  PM,19.092,,,,
44,06/08/23 09:30:00  PM,17.189,,,,
45,06/08/23 10:00:00  PM,15.855,,,,
46,06/08/23 10:30:00  PM,15.378,,,,
47,06/08/23 11:00:00  PM,15.378,,,,
48,06/08/23 11:30:00  PM,14.900,,,,
49,06/09/23 12:00:00  AM,14.804,,,,
50,06/09/23 12:30:00  AM,14.613,,,,
51,06/09/23 01:00:00  AM,14.517,,,,
52,06/09/23 01:30:00  AM,14.038,,,,
53,06/09/23 02:00:00  AM,13.750,,,,
54,06/09/23 02:30:00  AM,12.690,,,,
55,06/09/23 03:00:00  AM,12.013,,,,
56,06/09/23 03:30:00  AM,11.819,,,,
57,06/09/23 04:00:00  AM,11.819,,,,
58,06/09/23 04:30:00  AM,11.528,,,,
59,06/09/23 05:00:00  AM,11.431,,,,
60,06/09/23 05:30:00  AM,12.110,,,,
61,06/09/23 06:00:00  AM,12.787,,,,
62,06/09/23 06:30:00  AM,13.365,,,,
63,06/09/23 07:00:00  AM,13.750,,,,
64,06/09/23 07:30:00  AM,14.996,,,,
65,06/09/23 08:00:00  AM,16.046,,,,
66,06/09/23 08:30:00  AM,16.332,,,,
67,06/09/23 09:00:00  AM,16.237,,,,
68,06/09/23 09:30:00  AM,15.187,,,,
69,06/09/23 10:00:00  AM,14.517,,,,
70,06/09/23 10:30:00  AM,16.903,,,,
71,06/09/23 11:00:00  AM,17.094,,,,
72,06/09/23 11:30:00  AM,17.570,,,,
73,06/09/23 12:00:00  PM,16.523,,,,
74,06/09/23 12:30:00  PM,18.901,,,,
75,06/09/23 01:00:00  PM,20.519,,,,
76,06/09/23 01:30:00  PM,20.805,,,,
77,06/09/23 02:00:00  PM,17.284,,,,
78,06/09/23 02:30:00  PM,16.332,,,,
79,06/09/23 03:00:00  PM,16.808,,,,
80,06/09/23 03:30:00  PM,18.045,,,,
81,06/09/23 04:00:00  PM,17.475,,,,
82,06/09/23 04:30:00  PM,17.475,,,,
