"Plot Title: CON-4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163053, SEN S/N: 10163053, LBL: ground temp)","Good Battery (LGR S/N: 10163053)","Coupler Attached (LGR S/N: 10163053)","Host Connected (LGR S/N: 10163053)","Stopped (LGR S/N: 10163053)","End Of File (LGR S/N: 10163053)"
1,06/08/23 12:00:00  AM,9.373,,,,,
2,06/08/23 12:30:00  AM,8.581,,,,,
3,06/08/23 01:00:00  AM,7.882,,,,,
4,06/08/23 01:30:00  AM,7.280,,,,,
5,06/08/23 02:00:00  AM,6.775,,,,,
6,06/08/23 02:30:00  AM,6.268,,,,,
7,06/08/23 03:00:00  AM,5.860,,,,,
8,06/08/23 03:30:00  AM,5.552,,,,,
9,06/08/23 04:00:00  AM,5.141,,,,,
10,06/08/23 04:30:00  AM,4.831,,,,,
11,06/08/23 05:00:00  AM,4.623,,,,,
12,06/08/23 05:30:00  AM,4.519,,,,,
13,06/08/23 06:00:00  AM,4.519,,,,,
14,06/08/23 06:30:00  AM,4.934,,,,,
15,06/08/23 07:00:00  AM,6.370,,,,,
16,06/08/23 07:30:00  AM,8.082,,,,,
17,06/08/23 08:00:00  AM,10.063,,,,,
18,06/08/23 08:30:00  AM,11.431,,,,,
19,06/08/23 09:00:00  AM,16.999,,,,,
20,06/08/23 09:30:00  AM,17.189,,,,,
21,06/08/23 10:00:00  AM,17.094,,,,,
22,06/08/23 10:30:00  AM,17.950,Logged,,,,
23,06/08/23 11:00:00  AM,18.996,,,,,
24,06/08/23 11:30:00  AM,20.519,,,,,
25,06/08/23 12:00:00  PM,22.812,,,,,
26,06/08/23 12:30:00  PM,28.060,,,,,
27,06/08/23 01:00:00  PM,27.961,,,,,
28,06/08/23 01:30:00  PM,45.326,,,,,
29,06/08/23 02:00:00  PM,48.821,,,,,
30,06/08/23 02:30:00  PM,44.089,,,,,
31,06/08/23 03:00:00  PM,47.499,,,,,
32,06/08/23 03:30:00  PM,37.384,,,,,
33,06/08/23 04:00:00  PM,26.977,,,,,
34,06/08/23 04:30:00  PM,26.585,,,,,
