"Plot Title: CON-7"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10019733, SEN S/N: 10019733, LBL: ground temperature)","Coupler Attached (LGR S/N: 10019733)","Host Connected (LGR S/N: 10019733)","Stopped (LGR S/N: 10019733)","End Of File (LGR S/N: 10019733)"
1,06/08/23 12:00:00  AM,9.373,,,,
2,06/08/23 12:30:00  AM,8.481,,,,
3,06/08/23 01:00:00  AM,7.782,,,,
4,06/08/23 01:30:00  AM,7.179,,,,
5,06/08/23 02:00:00  AM,6.471,,,,
6,06/08/23 02:30:00  AM,6.064,,,,
7,06/08/23 03:00:00  AM,5.655,,,,
8,06/08/23 03:30:00  AM,5.244,,,,
9,06/08/23 04:00:00  AM,4.831,,,,
10,06/08/23 04:30:00  AM,4.623,,,,
11,06/08/23 05:00:00  AM,4.311,,,,
12,06/08/23 05:30:00  AM,4.207,,,,
13,06/08/23 06:00:00  AM,4.415,,,,
14,06/08/23 06:30:00  AM,5.141,,,,
15,06/08/23 07:00:00  AM,7.782,,,,
16,06/08/23 07:30:00  AM,16.903,,,,
17,06/08/23 08:00:00  AM,14.804,,,,
18,06/08/23 08:30:00  AM,14.804,,,,
19,06/08/23 09:00:00  AM,15.569,,,,
20,06/08/23 09:30:00  AM,17.189,,,,
21,06/08/23 10:00:00  AM,19.092,,,,
22,06/08/23 10:30:00  AM,25.902,,,,
23,06/08/23 11:00:00  AM,23.388,,,,
24,06/08/23 11:30:00  AM,25.708,,,,
25,06/08/23 12:00:00  PM,27.173,,,,
26,06/08/23 12:30:00  PM,35.649,,,,
27,06/08/23 01:00:00  PM,31.472,,,,
28,06/08/23 01:30:00  PM,35.542,,,,
29,06/08/23 02:00:00  PM,45.956,,,,
30,06/08/23 02:30:00  PM,45.452,,,,
31,06/08/23 03:00:00  PM,49.768,,,,
32,06/08/23 03:30:00  PM,40.992,,,,
33,06/08/23 04:00:00  PM,42.282,,,,
34,06/08/23 04:30:00  PM,41.108,,,,
35,06/08/23 05:00:00  PM,29.252,,,,
36,06/08/23 05:30:00  PM,29.352,,,,
37,06/08/23 06:00:00  PM,26.097,,,,
38,06/08/23 06:30:00  PM,25.902,,,,
39,06/08/23 07:00:00  PM,24.158,,,,
