"Plot Title: OTC-3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10162897, SEN S/N: 10162897, LBL: ground temp)","Coupler Attached (LGR S/N: 10162897)","Host Connected (LGR S/N: 10162897)","Stopped (LGR S/N: 10162897)","End Of File (LGR S/N: 10162897)"
1,06/08/23 12:00:00  AM,9.077,,,,
2,06/08/23 12:30:00  AM,8.182,,,,
3,06/08/23 01:00:00  AM,7.582,,,,
4,06/08/23 01:30:00  AM,6.978,,,,
5,06/08/23 02:00:00  AM,6.370,,,,
6,06/08/23 02:30:00  AM,5.962,,,,
7,06/08/23 03:00:00  AM,5.552,,,,
8,06/08/23 03:30:00  AM,5.141,,,,
9,06/08/23 04:00:00  AM,4.831,,,,
10,06/08/23 04:30:00  AM,4.519,,,,
11,06/08/23 05:00:00  AM,4.311,,,,
12,06/08/23 05:30:00  AM,4.102,,,,
13,06/08/23 06:00:00  AM,4.207,,,,
14,06/08/23 06:30:00  AM,4.623,,,,
15,06/08/23 07:00:00  AM,6.370,,,,
16,06/08/23 07:30:00  AM,8.182,,,,
17,06/08/23 08:00:00  AM,9.768,,,,
18,06/08/23 08:30:00  AM,12.207,,,,
19,06/08/23 09:00:00  AM,14.134,,,,
20,06/08/23 09:30:00  AM,15.760,,,,
21,06/08/23 10:00:00  AM,16.332,,,,
22,06/08/23 10:30:00  AM,17.570,,,,
23,06/08/23 11:00:00  AM,19.282,,,,
24,06/08/23 11:30:00  AM,20.710,,,,
25,06/08/23 12:00:00  PM,23.773,,,,
26,06/08/23 12:30:00  PM,28.060,,,,
27,06/08/23 01:00:00  PM,28.060,,,,
28,06/08/23 01:30:00  PM,43.601,,,,
29,06/08/23 02:00:00  PM,45.577,,,,
30,06/08/23 02:30:00  PM,30.862,,,,
31,06/08/23 03:00:00  PM,35.971,,,,
32,06/08/23 03:30:00  PM,37.604,,,,
33,06/08/23 04:00:00  PM,28.555,,,,
34,06/08/23 04:30:00  PM,28.060,,,,
35,06/08/23 05:00:00  PM,26.195,,,,
36,06/08/23 05:30:00  PM,26.683,,,,
37,06/08/23 06:00:00  PM,24.931,,,,
38,06/08/23 06:30:00  PM,24.641,,,,
39,06/08/23 07:00:00  PM,23.388,,,,
40,06/08/23 07:30:00  PM,22.046,,,,
41,06/08/23 08:00:00  PM,20.043,,,,
42,06/08/23 08:30:00  PM,19.282,,,,
43,06/08/23 09:00:00  PM,18.045,,,,
44,06/08/23 09:30:00  PM,15.855,,,,
45,06/08/23 10:00:00  PM,14.613,,,,
46,06/08/23 10:30:00  PM,14.421,,,,
47,06/08/23 11:00:00  PM,14.517,,,,
48,06/08/23 11:30:00  PM,14.230,,,,
49,06/09/23 12:00:00  AM,14.038,,,,
50,06/09/23 12:30:00  AM,13.846,,,,
51,06/09/23 01:00:00  AM,13.846,,,,
52,06/09/23 01:30:00  AM,12.980,,,,
53,06/09/23 02:00:00  AM,12.207,,,,
54,06/09/23 02:30:00  AM,11.334,,,,
55,06/09/23 03:00:00  AM,10.944,,,,
56,06/09/23 03:30:00  AM,10.944,,,,
57,06/09/23 04:00:00  AM,10.944,,,,
58,06/09/23 04:30:00  AM,10.846,,,,
59,06/09/23 05:00:00  AM,10.748,,,,
60,06/09/23 05:30:00  AM,11.528,,,,
61,06/09/23 06:00:00  AM,12.207,,,,
62,06/09/23 06:30:00  AM,12.883,,,,
63,06/09/23 07:00:00  AM,13.461,,,,
64,06/09/23 07:30:00  AM,14.900,,,,
65,06/09/23 08:00:00  AM,15.569,,,,
66,06/09/23 08:30:00  AM,16.046,,,,
67,06/09/23 09:00:00  AM,16.237,,,,
68,06/09/23 09:30:00  AM,14.996,,,,
69,06/09/23 10:00:00  AM,14.421,,,,
70,06/09/23 10:30:00  AM,16.237,,,,
71,06/09/23 11:00:00  AM,16.713,,,,
72,06/09/23 11:30:00  AM,17.570,,,,
73,06/09/23 12:00:00  PM,16.523,,,,
74,06/09/23 12:30:00  PM,19.187,,,,
75,06/09/23 01:00:00  PM,21.187,,,,
76,06/09/23 01:30:00  PM,21.760,,,,
77,06/09/23 02:00:00  PM,17.475,,,,
78,06/09/23 02:30:00  PM,16.237,,,,
79,06/09/23 03:00:00  PM,16.808,,,,
80,06/09/23 03:30:00  PM,18.806,,,,
81,06/09/23 04:00:00  PM,17.379,,,,
82,06/09/23 04:30:00  PM,17.760,,,,
83,06/09/23 05:00:00  PM,18.045,,,,
84,06/09/23 05:30:00  PM,16.427,,,,
85,06/09/23 06:00:00  PM,14.230,,,,
86,06/09/23 06:30:00  PM,13.654,,,,
87,06/09/23 07:00:00  PM,13.269,,,,
88,06/09/23 07:30:00  PM,13.173,,,,
89,06/09/23 08:00:00  PM,12.690,,,,
90,06/09/23 08:30:00  PM,12.304,,,,
91,06/09/23 09:00:00  PM,11.819,,,,
92,06/09/23 09:30:00  PM,11.528,,,,
93,06/09/23 10:00:00  PM,11.236,,,,
94,06/09/23 10:30:00  PM,11.041,,,,
95,06/09/23 11:00:00  PM,10.846,,,,
96,06/09/23 11:30:00  PM,10.651,,,,
97,06/10/23 12:00:00  AM,10.553,,,,
98,06/10/23 12:30:00  AM,10.357,,,,
99,06/10/23 01:00:00  AM,9.965,,,,
100,06/10/23 01:30:00  AM,9.965,,,,
101,06/10/23 02:00:00  AM,9.866,,,,
102,06/10/23 02:30:00  AM,9.571,,,,
103,06/10/23 03:00:00  AM,9.472,,,,
104,06/10/23 03:30:00  AM,9.373,,,,
105,06/10/23 04:00:00  AM,9.077,,,,
106,06/10/23 04:30:00  AM,9.077,,,,
107,06/10/23 05:00:00  AM,9.077,,,,
108,06/10/23 05:30:00  AM,9.077,,,,
109,06/10/23 06:00:00  AM,9.077,,,,
110,06/10/23 06:30:00  AM,9.275,,,,
111,06/10/23 07:00:00  AM,9.373,,,,
112,06/10/23 07:30:00  AM,9.571,,,,
113,06/10/23 08:00:00  AM,10.063,,,,
114,06/10/23 08:30:00  AM,11.334,,,,
115,06/10/23 09:00:00  AM,13.461,,,,
116,06/10/23 09:30:00  AM,13.076,,,,
117,06/10/23 10:00:00  AM,14.421,,,,
118,06/10/23 10:30:00  AM,16.237,,,,
119,06/10/23 11:00:00  AM,16.046,,,,
120,06/10/23 11:30:00  AM,17.760,,,,
121,06/10/23 12:00:00  PM,15.282,,,,
122,06/10/23 12:30:00  PM,14.613,,,,
123,06/10/23 01:00:00  PM,14.996,,,,
124,06/10/23 01:30:00  PM,23.484,,,,
125,06/10/23 02:00:00  PM,23.196,,,,
126,06/10/23 02:30:00  PM,16.237,,,,
127,06/10/23 03:00:00  PM,13.942,,,,
128,06/10/23 03:30:00  PM,14.709,,,,
129,06/10/23 04:00:00  PM,14.325,,,,
130,06/10/23 04:30:00  PM,15.187,,,,
131,06/10/23 05:00:00  PM,14.325,,,,
132,06/10/23 05:30:00  PM,15.760,,,,
133,06/10/23 06:00:00  PM,14.613,,,,
134,06/10/23 06:30:00  PM,13.846,,,,
135,06/10/23 07:00:00  PM,12.401,,,,
136,06/10/23 07:30:00  PM,12.110,,,,
137,06/10/23 08:00:00  PM,11.916,,,,
138,06/10/23 08:30:00  PM,11.236,,,,
139,06/10/23 09:00:00  PM,10.944,,,,
140,06/10/23 09:30:00  PM,10.651,,,,
141,06/10/23 10:00:00  PM,10.455,,,,
142,06/10/23 10:30:00  PM,10.259,,,,
143,06/10/23 11:00:00  PM,10.063,,,,
144,06/10/23 11:30:00  PM,10.063,,,,
145,06/11/23 12:00:00  AM,9.965,,,,
146,06/11/23 12:30:00  AM,9.965,,,,
147,06/11/23 01:00:00  AM,9.866,,,,
148,06/11/23 01:30:00  AM,9.768,,,,
149,06/11/23 02:00:00  AM,9.472,,,,
150,06/11/23 02:30:00  AM,9.373,,,,
151,06/11/23 03:00:00  AM,9.275,,,,
152,06/11/23 03:30:00  AM,9.373,,,,
153,06/11/23 04:00:00  AM,9.176,,,,
154,06/11/23 04:30:00  AM,9.176,,,,
155,06/11/23 05:00:00  AM,9.275,,,,
156,06/11/23 05:30:00  AM,9.275,,,,
157,06/11/23 06:00:00  AM,9.373,,,,
158,06/11/23 06:30:00  AM,9.571,,,,
159,06/11/23 07:00:00  AM,9.866,,,,
160,06/11/23 07:30:00  AM,10.259,,,,
161,06/11/23 08:00:00  AM,10.553,,,,
162,06/11/23 08:30:00  AM,11.236,,,,
163,06/11/23 09:00:00  AM,11.819,,,,
164,06/11/23 09:30:00  AM,12.594,,,,
165,06/11/23 10:00:00  AM,14.325,,,,
166,06/11/23 10:30:00  AM,14.230,,,,
167,06/11/23 11:00:00  AM,14.421,,,,
168,06/11/23 11:30:00  AM,14.709,,,,
169,06/11/23 12:00:00  PM,14.421,,,,
170,06/11/23 12:30:00  PM,15.473,,,,
171,06/11/23 01:00:00  PM,16.332,,,,
172,06/11/23 01:30:00  PM,16.523,,,,
173,06/11/23 02:00:00  PM,18.711,,,,
174,06/11/23 02:30:00  PM,18.045,,,,
175,06/11/23 03:00:00  PM,18.711,,,,
176,06/11/23 03:30:00  PM,24.158,,,,
