"Plot Title: OTC-6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10510837, SEN S/N: 10510837, LBL: ground temperature)","Coupler Attached (LGR S/N: 10510837)","Host Connected (LGR S/N: 10510837)","Stopped (LGR S/N: 10510837)","End Of File (LGR S/N: 10510837)"
1,06/08/23 12:00:00  AM,8.581,,,,
2,06/08/23 12:30:00  AM,7.782,,,,
3,06/08/23 01:00:00  AM,7.079,,,,
4,06/08/23 01:30:00  AM,6.573,,,,
5,06/08/23 02:00:00  AM,6.064,,,,
6,06/08/23 02:30:00  AM,5.552,,,,
7,06/08/23 03:00:00  AM,5.141,,,,
8,06/08/23 03:30:00  AM,4.831,,,,
9,06/08/23 04:00:00  AM,4.415,,,,
10,06/08/23 04:30:00  AM,4.207,,,,
11,06/08/23 05:00:00  AM,3.893,,,,
12,06/08/23 05:30:00  AM,3.788,,,,
13,06/08/23 06:00:00  AM,3.893,,,,
14,06/08/23 06:30:00  AM,4.623,,,,
15,06/08/23 07:00:00  AM,6.978,,,,
16,06/08/23 07:30:00  AM,9.571,,,,
17,06/08/23 08:00:00  AM,10.748,,,,
18,06/08/23 08:30:00  AM,15.282,,,,
19,06/08/23 09:00:00  AM,21.091,,,,
20,06/08/23 09:30:00  AM,29.853,,,,
21,06/08/23 10:00:00  AM,34.374,,,,
22,06/08/23 10:30:00  AM,37.384,,,,
23,06/08/23 11:00:00  AM,37.274,,,,
24,06/08/23 11:30:00  AM,27.173,,,,
25,06/08/23 12:00:00  PM,25.319,,,,
26,06/08/23 12:30:00  PM,26.781,,,,
27,06/08/23 01:00:00  PM,26.781,,,,
28,06/08/23 01:30:00  PM,39.843,,,,
29,06/08/23 02:00:00  PM,40.992,,,,
30,06/08/23 02:30:00  PM,42.520,,,,
31,06/08/23 03:00:00  PM,47.629,,,,
32,06/08/23 03:30:00  PM,40.530,,,,
33,06/08/23 04:00:00  PM,38.046,,,,
34,06/08/23 04:30:00  PM,39.276,,,,
35,06/08/23 05:00:00  PM,27.665,,,,
36,06/08/23 05:30:00  PM,26.488,,,,
37,06/08/23 06:00:00  PM,23.773,,,,
38,06/08/23 06:30:00  PM,23.196,,,,
39,06/08/23 07:00:00  PM,22.046,,,,
40,06/08/23 07:30:00  PM,20.901,,,,
41,06/08/23 08:00:00  PM,19.187,,,,
42,06/08/23 08:30:00  PM,18.236,,,,
43,06/08/23 09:00:00  PM,16.999,,,,
44,06/08/23 09:30:00  PM,14.900,,,,
45,06/08/23 10:00:00  PM,13.750,,,,
46,06/08/23 10:30:00  PM,13.846,,,,
47,06/08/23 11:00:00  PM,14.134,,,,
48,06/08/23 11:30:00  PM,13.846,,,,
49,06/09/23 12:00:00  AM,13.750,,,,
50,06/09/23 12:30:00  AM,13.654,,,,
51,06/09/23 01:00:00  AM,13.558,,,,
52,06/09/23 01:30:00  AM,13.076,,,,
53,06/09/23 02:00:00  AM,12.013,,,,
54,06/09/23 02:30:00  AM,11.139,,,,
