"Plot Title: OTC-7"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10162900, SEN S/N: 10162900, LBL: ground temperature)","Host Connected (LGR S/N: 10162900)","Coupler Attached (LGR S/N: 10162900)","Stopped (LGR S/N: 10162900)","End Of File (LGR S/N: 10162900)"
1,06/08/23 12:00:00  AM,7.381,,,,
2,06/08/23 12:30:00  AM,6.573,,,,
3,06/08/23 01:00:00  AM,5.860,,,,
4,06/08/23 01:30:00  AM,5.450,,,,
5,06/08/23 02:00:00  AM,4.831,,,,
6,06/08/23 02:30:00  AM,4.415,,,,
7,06/08/23 03:00:00  AM,3.998,,,,
8,06/08/23 03:30:00  AM,3.578,,,,
9,06/08/23 04:00:00  AM,3.367,,,,
10,06/08/23 04:30:00  AM,3.049,,,,
11,06/08/23 05:00:00  AM,2.837,,,,
12,06/08/23 05:30:00  AM,2.730,,,,
13,06/08/23 06:00:00  AM,2.943,,,,
14,06/08/23 06:30:00  AM,3.893,,,,
15,06/08/23 07:00:00  AM,6.166,,,,
16,06/08/23 07:30:00  AM,7.582,,,,
17,06/08/23 08:00:00  AM,10.455,,,,
18,06/08/23 08:30:00  AM,11.819,,,,
19,06/08/23 09:00:00  AM,13.461,,,,
20,06/08/23 09:30:00  AM,14.996,,,,
21,06/08/23 10:00:00  AM,16.141,,,,
22,06/08/23 10:30:00  AM,27.272,,,,
23,06/08/23 11:00:00  AM,24.931,,,,
24,06/08/23 11:30:00  AM,39.729,,,,
25,06/08/23 12:00:00  PM,30.659,,,,
26,06/08/23 12:30:00  PM,37.494,,,,
27,06/08/23 01:00:00  PM,31.778,,,,
28,06/08/23 01:30:00  PM,28.853,,,,
29,06/08/23 02:00:00  PM,26.097,,,,
30,06/08/23 02:30:00  PM,22.333,,,,
31,06/08/23 03:00:00  PM,22.621,,,,
32,06/08/23 03:30:00  PM,23.581,,,,
33,06/08/23 04:00:00  PM,24.448,,,,
34,06/08/23 04:30:00  PM,26.097,,,,
35,06/08/23 05:00:00  PM,25.416,,,,
36,06/08/23 05:30:00  PM,27.567,,,,
37,06/08/23 06:00:00  PM,24.738,,,,
38,06/08/23 06:30:00  PM,23.966,,,,
39,06/08/23 07:00:00  PM,22.621,,,,
40,06/08/23 07:30:00  PM,21.091,,,,
41,06/08/23 08:00:00  PM,18.996,,,,
42,06/08/23 08:30:00  PM,17.950,,,,
43,06/08/23 09:00:00  PM,16.523,,,,
44,06/08/23 09:30:00  PM,13.942,,,,
45,06/08/23 10:00:00  PM,12.594,,,,
46,06/08/23 10:30:00  PM,12.980,,,,
47,06/08/23 11:00:00  PM,13.461,,,,
48,06/08/23 11:30:00  PM,13.076,,,,
49,06/09/23 12:00:00  AM,13.076,,,,
50,06/09/23 12:30:00  AM,12.980,,,,
51,06/09/23 01:00:00  AM,13.076,,,,
52,06/09/23 01:30:00  AM,12.304,,,,
53,06/09/23 02:00:00  AM,11.139,,,,
54,06/09/23 02:30:00  AM,10.161,,,,
55,06/09/23 03:00:00  AM,9.866,,,,
56,06/09/23 03:30:00  AM,9.768,,,,
57,06/09/23 04:00:00  AM,9.768,,,,
58,06/09/23 04:30:00  AM,9.472,,,,
59,06/09/23 05:00:00  AM,9.571,,,,
60,06/09/23 05:30:00  AM,10.161,,,,
61,06/09/23 06:00:00  AM,11.236,,,,
62,06/09/23 06:30:00  AM,12.401,,,,
63,06/09/23 07:00:00  AM,13.269,,,,
64,06/09/23 07:30:00  AM,15.187,,,,
65,06/09/23 08:00:00  AM,16.427,,,,
66,06/09/23 08:30:00  AM,16.903,,,,
67,06/09/23 09:00:00  AM,16.903,,,,
68,06/09/23 09:30:00  AM,15.855,,,,
69,06/09/23 10:00:00  AM,15.473,,,,
70,06/09/23 10:30:00  AM,18.045,,,,
71,06/09/23 11:00:00  AM,18.616,,,,
72,06/09/23 11:30:00  AM,19.282,,,,
73,06/09/23 12:00:00  PM,17.284,,,,
74,06/09/23 12:30:00  PM,20.615,,,,
75,06/09/23 01:00:00  PM,23.100,,,,
76,06/09/23 01:30:00  PM,23.196,,,,
77,06/09/23 02:00:00  PM,17.760,,,,
78,06/09/23 02:30:00  PM,16.141,,,,
79,06/09/23 03:00:00  PM,17.094,,,,
80,06/09/23 03:30:00  PM,19.282,,,,
81,06/09/23 04:00:00  PM,18.236,,,,
82,06/09/23 04:30:00  PM,18.521,,,,
83,06/09/23 05:00:00  PM,18.901,,,,
84,06/09/23 05:30:00  PM,17.094,,,,
85,06/09/23 06:00:00  PM,15.091,,,,
86,06/09/23 06:30:00  PM,14.421,,,,
87,06/09/23 07:00:00  PM,14.038,,,,
88,06/09/23 07:30:00  PM,13.846,,,,
89,06/09/23 08:00:00  PM,13.269,,,,
90,06/09/23 08:30:00  PM,12.497,,,,
91,06/09/23 09:00:00  PM,11.819,,,,
92,06/09/23 09:30:00  PM,11.334,,,,
93,06/09/23 10:00:00  PM,11.139,,,,
94,06/09/23 10:30:00  PM,11.041,,,,
95,06/09/23 11:00:00  PM,10.748,,,,
96,06/09/23 11:30:00  PM,10.553,,,,
97,06/10/23 12:00:00  AM,10.455,,,,
98,06/10/23 12:30:00  AM,10.259,,,,
99,06/10/23 01:00:00  AM,9.768,,,,
100,06/10/23 01:30:00  AM,9.866,,,,
101,06/10/23 02:00:00  AM,9.768,,,,
102,06/10/23 02:30:00  AM,9.472,,,,
103,06/10/23 03:00:00  AM,9.373,,,,
104,06/10/23 03:30:00  AM,9.275,,,,
105,06/10/23 04:00:00  AM,8.879,,,,
106,06/10/23 04:30:00  AM,8.879,,,,
107,06/10/23 05:00:00  AM,8.879,,,,
108,06/10/23 05:30:00  AM,8.978,,,,
109,06/10/23 06:00:00  AM,9.077,,,,
110,06/10/23 06:30:00  AM,9.373,,,,
111,06/10/23 07:00:00  AM,9.768,,,,
112,06/10/23 07:30:00  AM,9.965,,,,
113,06/10/23 08:00:00  AM,10.748,,,,
114,06/10/23 08:30:00  AM,12.594,,,,
115,06/10/23 09:00:00  AM,15.091,,,,
116,06/10/23 09:30:00  AM,14.996,,,,
117,06/10/23 10:00:00  AM,17.284,,,,
118,06/10/23 10:30:00  AM,20.996,,,,
119,06/10/23 11:00:00  AM,21.282,,,,
120,06/10/23 11:30:00  AM,25.610,,,,
121,06/10/23 12:00:00  PM,18.806,,,,
122,06/10/23 12:30:00  PM,16.808,,,,
123,06/10/23 01:00:00  PM,17.094,,,,
124,06/10/23 01:30:00  PM,22.621,,,,
125,06/10/23 02:00:00  PM,22.812,,,,
126,06/10/23 02:30:00  PM,17.665,,,,
127,06/10/23 03:00:00  PM,14.900,,,,
128,06/10/23 03:30:00  PM,16.332,,,,
129,06/10/23 04:00:00  PM,15.569,,,,
130,06/10/23 04:30:00  PM,16.427,,,,
131,06/10/23 05:00:00  PM,15.378,,,,
132,06/10/23 05:30:00  PM,17.379,,,,
133,06/10/23 06:00:00  PM,16.046,,,,
134,06/10/23 06:30:00  PM,14.804,,,,
135,06/10/23 07:00:00  PM,13.173,,,,
136,06/10/23 07:30:00  PM,12.883,,,,
137,06/10/23 08:00:00  PM,12.304,,,,
138,06/10/23 08:30:00  PM,11.431,,,,
139,06/10/23 09:00:00  PM,11.041,,,,
140,06/10/23 09:30:00  PM,10.651,,,,
141,06/10/23 10:00:00  PM,10.357,,,,
142,06/10/23 10:30:00  PM,10.161,,,,
143,06/10/23 11:00:00  PM,9.965,,,,
144,06/10/23 11:30:00  PM,9.866,,,,
145,06/11/23 12:00:00  AM,9.866,,,,
146,06/11/23 12:30:00  AM,9.768,,,,
147,06/11/23 01:00:00  AM,9.669,,,,
148,06/11/23 01:30:00  AM,9.571,,,,
149,06/11/23 02:00:00  AM,9.373,,,,
150,06/11/23 02:30:00  AM,9.275,,,,
151,06/11/23 03:00:00  AM,9.176,,,,
152,06/11/23 03:30:00  AM,9.077,,,,
153,06/11/23 04:00:00  AM,8.978,,,,
154,06/11/23 04:30:00  AM,8.978,,,,
155,06/11/23 05:00:00  AM,9.077,,,,
156,06/11/23 05:30:00  AM,9.077,,,,
157,06/11/23 06:00:00  AM,9.275,,,,
158,06/11/23 06:30:00  AM,9.472,,,,
159,06/11/23 07:00:00  AM,10.063,,,,
160,06/11/23 07:30:00  AM,10.748,,,,
161,06/11/23 08:00:00  AM,11.139,,,,
162,06/11/23 08:30:00  AM,12.304,,,,
163,06/11/23 09:00:00  AM,12.883,,,,
164,06/11/23 09:30:00  AM,13.846,,,,
165,06/11/23 10:00:00  AM,16.427,,,,
166,06/11/23 10:30:00  AM,16.046,,,,
167,06/11/23 11:00:00  AM,15.664,,,,
168,06/11/23 11:30:00  AM,16.141,,,,
169,06/11/23 12:00:00  PM,15.378,,,,
170,06/11/23 12:30:00  PM,17.094,,,,
171,06/11/23 01:00:00  PM,18.331,,,,
172,06/11/23 01:30:00  PM,17.950,,,,
173,06/11/23 02:00:00  PM,20.043,,,,
174,06/11/23 02:30:00  PM,19.948,,,,
175,06/11/23 03:00:00  PM,20.138,,,,
176,06/11/23 03:30:00  PM,19.662,,,,
177,06/11/23 04:00:00  PM,19.282,,,,
178,06/11/23 04:30:00  PM,18.901,,,,
179,06/11/23 05:00:00  PM,17.665,,,,
180,06/11/23 05:30:00  PM,17.760,,,,
181,06/11/23 06:00:00  PM,19.758,,,,
182,06/11/23 06:30:00  PM,19.853,,,,
183,06/11/23 07:00:00  PM,17.665,,,,
184,06/11/23 07:30:00  PM,15.473,,,,
185,06/11/23 08:00:00  PM,15.473,,,,
186,06/11/23 08:30:00  PM,13.846,,,,
187,06/11/23 09:00:00  PM,12.401,,,,
188,06/11/23 09:30:00  PM,12.304,,,,
189,06/11/23 10:00:00  PM,10.651,,,,
190,06/11/23 10:30:00  PM,9.571,,,,
191,06/11/23 11:00:00  PM,8.581,,,,
192,06/11/23 11:30:00  PM,8.282,,,,
193,06/12/23 12:00:00  AM,7.782,,,,
194,06/12/23 12:30:00  AM,6.978,,,,
