date,plot,slope,aspect,soil_1,soil_2,canopy_1,canopy_2,standard_plants,pollination_plants
22-Jun,OTC1,2,65,81,10.9,41,32,"1, 2, 3",
22-Jun,OTC2,3,20,7.4,12.3,42,72,"1, 2",
22-Jun,OTC3,4,12,6.5,5.6,58,40,"1, 2, 3, 4",4
22-Jun,OTC4,10,20,4.7,5.9,52,40,"1, 2, 4, 3",3
22-Jun,OTC5,2,20,1.6,6.6,13,84,"1, 3, 4",
22-Jun,OTC6,6,210,6.2,7,57,54,"1, 2, 3",
22-Jun,OTC7,8,110,5.2,4.1,53,66,"1, 3, 4, 2",2
22-Jun,CON7,12,116,3.9,6.2,31,42,"1, 3, 4, 2",2
22-Jun,CON6,1,349,11.6,7.4,25,35,"2, 3, 4, 1",1
22-Jun,CON5,4,172,5.1,5.4,33,51,"1, 2, 3",
22-Jun,CON4,3,180,14.2,10.6,56,30,"2, 3, 5, 4",4
22-Jun,CON3,5,238,5.3,4.2,61,31,"1, 2, 3",
22-Jun,CON2,2,120,8.5,10.6,53,45,"1, 2, 4, 3",3
22-Jun,CON1,3,21,3.9,3.6,56,39,"1, 2, 3",
