date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,code,notes,notes2,finished,pollination_plant,previously finished
16-Jun,OTC1,1,1,5,4,5,4,3,NA,,,,n,,n
16-Jun,OTC1,1,2,8,2,7,9,10,NA,,,,n,,n
16-Jun,OTC1,1,3,10,0,6,10,7,NA,,,,n,,n
16-Jun,OTC1,1,4,9,0,10,9,6,NA,,,,n,,n
16-Jun,OTC1,1,5,7,2,3,18,6,NA,,,,n,,n
16-Jun,OTC1,1,6,4,2,8,6,6,NA,,,,n,,n
16-Jun,OTC1,1,7,11,2,0,10,7,NA,,,,n,,n
16-Jun,OTC1,1,8,5,0,9,4,0,NA,,Herbivory Observed,,n,,n
16-Jun,OTC1,1,9,12,4,12,1,3,NA,,,,n,,n
16-Jun,OTC1,1,10,12,0,24,0,3,NA,,,,n,,n
16-Jun,OTC1,1,11,8,3,2,4,3,NA,,,,n,,n
16-Jun,OTC1,2,1,10,31,4,0,2,NA,,,,n,,n
16-Jun,OTC1,2,2,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,,n
16-Jun,OTC1,2,3,,,,,,NA,abr,Aborted Raceme,,n,,n
16-Jun,OTC1,2,4,,,,,,NA,abr,Aborted Raceme,,n,,n
16-Jun,OTC1,3,1,16,3,18,5,,NA,,,,n,,n
16-Jun,OTC1,3,2,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,,n
16-Jun,OTC1,3,3,,,,,,NA,abr,Aborted Raceme,,n,,n
16-Jun,OTC1,3,4,,,,,,NA,abr,Aborted Raceme,,n,,n
16-Jun,OTC1,4,1,NA,10,NA,NA,NA,NA,bud,Budding Stage,,n,,n
16-Jun,OTC1,4,2,14,3,20,10,6,NA,,,,n,,n
16-Jun,OTC1,4,3,7,1,8,1,8,NA,,,,n,,n
16-Jun,OTC1,4,4,NA,NA,NA,NA,NA,NA,abr,aborted,,n,,n
16-Jun,OTC1,4,5,NA,NA,NA,NA,NA,NA,abr,aborted,,n,,n
16-Jun,OTC1,4,6,6,0,4,2,26,NA,,,,n,,n
16-Jun,OTC1,4,7,11,0,3,1,18,NA,,,,n,,n
16-Jun,OTC1,4,8,NA,NA,NA,NA,NA,NA,abr,aborted,,n,,n
16-Jun,OTC1,4,9,8,0,1,0,11,NA,,Herbivory Observed,,n,,n
16-Jun,OTC1,4,10,10,0,14,13,9,NA,,,,n,,n
16-Jun,CON7,1,1,1,2,0,9,2,NA,,,,n,,n
16-Jun,CON7,1,2,4,1,4,13,4,NA,,,,n,,n
16-Jun,CON7,1,3,5,3,0,6,12,NA,,,,n,,n
16-Jun,CON7,1,4,3,6,0,10,2,NA,,,,n,,n
16-Jun,CON7,1,5,1,,,,,NA,abr,Aborted Raceme,,n,,n
16-Jun,CON7,1,6,2,1,1,10,4,NA,,,,n,,n
16-Jun,CON7,1,7,3.5,7,0,4,4,NA,bud,Budding Stage,,n,,n
16-Jun,CON7,1,8,1.5,1,0,7,7,NA,,,,n,,n
16-Jun,CON7,1,9,,,,,,NA,abr,Aborted Raceme,,n,,n
16-Jun,CON7,1,10,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,,n
16-Jun,CON7,1,11,1,,,,,NA,abr,Aborted Raceme,,n,,n
16-Jun,CON7,1,12,2.5,1,1,11,5,NA,,,,n,,n
16-Jun,CON7,1,13,1.5,2,0,19,2,NA,,,,n,,n
16-Jun,CON7,1,14,1.5,,,,,NA,abr,Aborted Raceme,,n,,n
16-Jun,CON7,1,15,2,0,1,10,7,NA,,,,n,,n
16-Jun,CON7,1,16,2.5,,,,,NA,abr,Aborted Raceme,,n,,n
16-Jun,CON7,1,17,1.5,3,0,9,1,NA,,,,n,,n
16-Jun,CON7,2,1,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,y,n
16-Jun,CON7,2,2,9,13,1,3,12,NA,,,,n,y,n
16-Jun,CON7,2,3,2.5,,,,,NA,abr,Aborted Raceme,,n,y,n
16-Jun,CON7,2,4,16,13,3,1,23,NA,,,,n,y,n
16-Jun,CON7,2,5,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,y,n
16-Jun,CON7,2,6,9,9,5,4,4,NA,,,,n,y,n
16-Jun,CON7,2,7,2,,,,,NA,abr,Aborted Raceme,,n,y,n
16-Jun,CON7,2,8,2,,,,,NA,abr,Aborted Raceme,,n,y,n
16-Jun,CON7,2,9,2.5,,,,,NA,abr,Aborted Raceme,,n,y,n
16-Jun,CON7,2,10,2,,,,,NA,abr,Aborted Raceme,,n,y,n
16-Jun,CON7,2,11,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,y,n
16-Jun,CON7,2,12,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,y,n
16-Jun,CON7,2,13,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,y,n
16-Jun,CON7,2,14,NA,NA,NA,NA,NA,NA,bud,Budding Stage,,n,y,n
16-Jun,CON7,2,15,7,7,2,8,5,NA,,,,n,y,n
